close,high,low,open,time,volumefrom,volumeto,datetime
0.02606,0.02726,0.02606,0.02692,20:00:00,1741930.72,45394.71,2019-05-31
0.02704,0.02739,0.02582,0.02661,20:00:00,2930043.79,79228.38,2019-06-01
0.02579,0.02677,0.02482,0.02522,20:00:00,2116286.04,54579.02,2019-06-02
0.02598,0.02637,0.02291,0.02437,20:00:00,6256401.95,162541.32,2019-06-03
0.02714,0.02846,0.02574,0.02628,20:00:00,8916940.38,242005.76,2019-06-04
0.02677,0.02732,0.02592,0.02716,20:00:00,1583986.68,42403.32,2019-06-05
0.07606,0.08013,0.02746,0.02746,20:00:00,160227338.11,12186891.34,2019-06-06
0.06451,0.07674,0.06159,0.07524,20:00:00,26984190.62,1740750.14,2019-06-07
0.05182,0.06235,0.05144,0.06235,20:00:00,8711690.3,451439.79,2019-06-08
0.05621,0.06619,0.05405,0.05421,20:00:00,9709787.11,545787.13,2019-06-09
0.05526,0.05699,0.05305,0.05549,20:00:00,5829762.78,322152.69,2019-06-10
0.05364,0.05714,0.05202,0.05698,20:00:00,5313878.15,285036.42,2019-06-11
0.05177,0.05613,0.05136,0.05424,20:00:00,3497421.69,181061.52,2019-06-12
0.05026,0.0558,0.04983,0.0545,20:00:00,3283241.53,165015.72,2019-06-13
0.05029,0.05276,0.04871,0.05118,20:00:00,4121889.95,207289.85,2019-06-14
0.05015,0.05132,0.04568,0.05114,20:00:00,5823737.2,292060.42,2019-06-15
0.05484,0.06527,0.05047,0.05214,20:00:00,12628905.3,692569.17,2019-06-16
0.06875,0.0781,0.05095,0.05349,20:00:00,34724931.18,2387339.02,2019-06-17
0.0818,0.08883,0.06634,0.07004,20:00:00,28871075.37,2361653.97,2019-06-18
0.07775,0.08936,0.07508,0.08412,20:00:00,12995414.88,1010393.51,2019-06-19
0.0701,0.08819,0.0701,0.08301,20:00:00,6504884.81,455992.43,2019-06-20
0.07553,0.08325,0.0633,0.07403,20:00:00,8811925.89,665564.76,2019-06-21
0.07198,0.07678,0.06871,0.07678,20:00:00,5182418.68,373030.5,2019-06-22
0.07222,0.0741,0.07001,0.07289,20:00:00,1812350.51,130887.95,2019-06-23
0.08011,0.09086,0.0755,0.07728,20:00:00,13132931.8,1052079.17,2019-06-24
0.07555,0.09244,0.06861,0.08877,20:00:00,14647793.95,1106640.83,2019-06-25
0.06771,0.07077,0.05707,0.06534,20:00:00,4500007.3,304695.49,2019-06-26
0.0719,0.07761,0.06892,0.07426,20:00:00,5013679.45,360483.55,2019-06-27
0.07236,0.07295,0.06689,0.0688,20:00:00,2439909.19,176551.83,2019-06-28
0.06733,0.06733,0.06344,0.06593,20:00:00,3169223.62,213383.83,2019-06-29
0.06896,0.06938,0.06471,0.06609,20:00:00,5154934.03,355484.25,2019-06-30
0.06856,0.07214,0.06596,0.0703,20:00:00,2694369.51,184725.97,2019-07-01
0.06698,0.07557,0.06698,0.07557,20:00:00,1619822.76,108495.73,2019-07-02
0.07177,0.07344,0.06262,0.06262,20:00:00,4710289.86,338057.5,2019-07-03
0.06815,0.07221,0.06617,0.07056,20:00:00,5556257.29,378658.93,2019-07-04
0.06747,0.06995,0.06477,0.06983,20:00:00,2876237.58,194059.75,2019-07-05
0.06916,0.07008,0.06757,0.06848,20:00:00,1145060.85,79192.41,2019-07-06
0.07105,0.08122,0.06934,0.07424,20:00:00,6555658.15,465779.51,2019-07-07
0.06833,0.07384,0.06732,0.07271,20:00:00,10921708.12,746280.32,2019-07-08
0.05846,0.0662,0.0547,0.06596,20:00:00,11962917.61,699352.16,2019-07-09
0.05091,0.05782,0.04603,0.05476,20:00:00,9328559.01,474916.94,2019-07-10
0.05279,0.05643,0.04703,0.05279,20:00:00,7941430.58,419228.12,2019-07-11
0.04945,0.05115,0.04751,0.05104,20:00:00,5139674.09,254156.88,2019-07-12
0.03841,0.04472,0.0382,0.04432,20:00:00,9646168.09,370509.32,2019-07-13
0.03783,0.04455,0.03555,0.04086,20:00:00,9900766.58,374546.0,2019-07-14
